
Host: node54.bme.utexas.edu

Timers On : Mon Sep  9 16:03:23 2019
Timers Off: Mon Sep  9 16:17:59 2019

Wall Time:      875.38 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
Disp22 (T)                          :   3517.050u     30.133s    533.069w      1 calls

**************************************************************************************

Host: node54.bme.utexas.edu

Timers On : Mon Sep  9 16:47:36 2019
Timers Off: Mon Sep  9 17:00:54 2019

Wall Time:      798.11 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
JK: (A|mn)                          :     22.250u      0.000s      3.342w      1 calls
JK: (A|Q)^-1/2                      :      2.467u      0.033s      0.377w      1 calls
JK: (Q|mn)                          :     11.833u      0.017s      1.781w      1 calls
HF: Form core H                     :      0.017u      0.017s      0.087w      3 calls
HF: Form S/X                        :      1.100u      0.033s      0.170w      3 calls
HF: Guess                           :     14.117u      0.400s      2.180w      3 calls
SAD Guess                           :     13.867u      0.400s      2.141w      3 calls
HF: Form G                          :    171.817u      1.133s     25.988w     37 calls
JK: D                               :      0.150u      0.000s      0.011w     37 calls
JK: USO2AO                          :      0.067u      0.000s      0.012w     37 calls
JK: JK                              :    171.417u      1.133s     25.940w     37 calls
JK: J                               :     11.267u      0.083s      1.688w     37 calls
JK: J1                              :      5.533u      0.033s      0.828w     37 calls
JK: J2                              :      5.250u      0.050s      0.804w     37 calls
JK: K                               :    156.733u      0.017s     23.560w     37 calls
JK: K1                              :    139.667u      0.000s     21.011w     37 calls
JK: K2                              :     16.933u      0.017s      2.543w     37 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     37 calls
HF: Form F                          :      0.067u      0.000s      0.013w     37 calls
HF: Form D                          :      0.083u      0.000s      0.011w     37 calls
HF: DIIS                            :      3.883u      0.417s      0.655w     34 calls
DIISManager::add_entry              :      0.450u      0.083s      0.091w     34 calls
DIISManager::extrapolate            :      1.183u      0.333s      0.221w     34 calls
bMatrix setup                       :      0.617u      0.267s      0.114w     34 calls
bMatrix pseudoinverse               :      0.000u      0.000s      0.003w     34 calls
New vector                          :      0.567u      0.067s      0.105w     34 calls
HF: Form C                          :     13.017u      0.167s      1.987w     34 calls
DF Integrals                        :    319.067u     20.983s     57.535w      1 calls
Omega Integrals                     :      3.183u      1.883s      1.531w      1 calls
Amplitudes                          :    574.217u     16.083s     93.630w      1 calls
Elst10                              :      0.000u      0.000s      0.000w      1 calls
Exch10 S^2                          :      0.000u      0.000s      0.002w      1 calls
Exch10                              :      0.033u      0.000s      0.004w      1 calls
Ind20,r                             :     48.633u      1.283s      7.498w      1 calls
Exch-Ind20,r                        :      1.200u      0.217s      0.213w      1 calls
Disp20                              :      3.100u      0.167s      0.492w      1 calls
Exch-Disp20                         :     41.950u      0.717s      6.458w      1 calls
Elst12                              :      0.000u      0.017s      0.001w      1 calls
Exch11                              :      0.567u      0.083s      0.097w      1 calls
Exch12                              :    281.550u     10.267s     47.072w      1 calls
Ind22                               :     36.217u      6.450s      8.626w      1 calls
Disp21                              :      1.683u      0.417s      0.317w      1 calls
Disp22 (SDQ)                        :     73.983u      4.050s     12.455w      1 calls
Disp22 (T)                          :   3398.933u     35.783s    516.150w      1 calls

--------------------------------------------------------------------------------------
JK: (A|mn)                          :     22.250u      0.000s      3.342w      1 calls
JK: (A|Q)^-1/2                      :      2.467u      0.033s      0.377w      1 calls
JK: (Q|mn)                          :     11.833u      0.017s      1.781w      1 calls
HF: Form core H                     :      0.017u      0.017s      0.087w      3 calls
HF: Form S/X                        :      1.100u      0.033s      0.170w      3 calls
HF: Guess                           :     14.117u      0.400s      2.180w      3 calls
| SAD Guess                         :     13.867u      0.400s      2.141w      3 calls
HF: Form G                          :    171.817u      1.133s     25.988w     37 calls
| JK: D                             :      0.150u      0.000s      0.011w     37 calls
| JK: USO2AO                        :      0.067u      0.000s      0.012w     37 calls
| JK: JK                            :    171.417u      1.133s     25.940w     37 calls
| | JK: J                           :     11.267u      0.083s      1.688w     37 calls
| | | JK: J1                        :      5.533u      0.033s      0.828w     37 calls
| | | JK: J2                        :      5.250u      0.050s      0.804w     37 calls
| | JK: K                           :    156.733u      0.017s     23.560w     37 calls
| | | JK: K1                        :    139.667u      0.000s     21.011w     37 calls
| | | JK: K2                        :     16.933u      0.017s      2.543w     37 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     37 calls
HF: Form F                          :      0.067u      0.000s      0.013w     37 calls
HF: Form D                          :      0.083u      0.000s      0.011w     37 calls
HF: DIIS                            :      3.883u      0.417s      0.655w     34 calls
| DIISManager::add_entry            :      0.450u      0.083s      0.091w     34 calls
| DIISManager::extrapolate          :      1.183u      0.333s      0.221w     34 calls
| | bMatrix setup                   :      0.617u      0.267s      0.114w     34 calls
| | bMatrix pseudoinverse           :      0.000u      0.000s      0.003w     34 calls
| | New vector                      :      0.567u      0.067s      0.105w     34 calls
HF: Form C                          :     13.017u      0.167s      1.987w     34 calls
DF Integrals                        :    319.067u     20.983s     57.535w      1 calls
